OrderNo,SalesOrderLineKey,OrderQuantity,ItemCost,ItemPrice,OrderDate,DeliveryDueDate,OrderToDelivery,CustomerName,CustomerCity,CustomerState,CustomerCountry,ProductCategory,ProductSubcategory,Product,ProductColor,Model,Order Line Price
SO43697,43697001,1,2171.29,3578.27,01/07/2017,05/07/2017,4,Cole Watson,Metchosin,British Columbia,Canada,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO43698,43698001,1,1912.15,3399.99,01/07/2017,11/07/2017,10,Rachael Martinez,Pantin,Seine Saint Denis,France,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",Silver,Mountain-100,3399.99
SO43699,43699001,1,1912.15,3399.99,01/07/2017,06/07/2017,5,Sydney Wright,Lebanon,Oregon,United States,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",Silver,Mountain-100,3399.99
SO43700,43700001,1,413.15,699.1,01/07/2017,10/07/2017,9,Ruben Prasad,Beverly Hills,California,United States,Bikes,Road Bikes,"Road-650 Black, 62",Black,Road-650,699.1
SO43701,43701001,1,1912.15,3399.99,01/07/2017,11/07/2017,10,Christy Zhu,North Ryde,New South Wales,Australia,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",Silver,Mountain-100,3399.99
SO43702,43702001,1,2171.29,3578.27,01/07/2017,05/07/2017,4,Colin Anand,,California,United States,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO43703,43703001,1,2171.29,3578.27,01/07/2017,07/07/2017,6,Albert Alvarez,Perth,South Australia,Australia,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO43704,43704001,1,1898.09,3374.99,01/07/2017,04/07/2017,3,Julio Ruiz,East Brisbane,Queensland,Australia,Bikes,Mountain Bikes,"Mountain-100 Black, 48",Black,Mountain-100,3374.99
SO43705,43705001,1,1912.15,3399.99,01/07/2017,05/07/2017,4,Curtis Lu,East Brisbane,Queensland,Australia,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",Silver,Mountain-100,3399.99
SO43706,43706001,1,2171.29,3578.27,02/07/2017,08/07/2017,6,Edward Brown,Santa Monica,California,United States,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
